Country,City,PM10
India,Delhi,292.31
Saudi Arabia,Riyadh,251
Philippines,Manila,117.5
China,Beijing,92
Chile,Santiago,66.8264
Korea,Seoul,47.83333333
Mexico,Mexico City,38.72283956
Montenegro,Podgorica,38.77102392
Turkey,Istanbul,38.40281257
Poland,Warszawa,33.49597962
France,Paris,28.11770957
Italy,Roma,27.40050854
Denmark,Copenhagen,24.18819885
Germany,Berlin,23.15385713
Great Britain,London,23.48601273
Spain,Madrid,19.17604495
Norway,Oslo,18.16388611
Australia,Sydney,16.50524016
Iceland,Reykjavik,15.50907733
Switzerland,Zurich,16.06241085
